39.86	49.51	52.45	61.99	71.26	68.22	73.51	74.32	80.09	82.14	82.27	81.76	91.88	107.93	120.39	127.00	123.79	128.71	138.80	157.12	
88.12	99.10	107.17	109.37	111.62	107.75	112.12	117.79	105.28	108.53	114.06	112.35	109.77	152.95	121.55	114.91	122.63	124.97	130.57	164.34	
2.52	2.04	2.93	2.86	2.53	2.56	2.89	2.64	2.31	3.11	2.47	2.30	2.37	3.11	2.60	2.72	2.14	2.58	3.33	2.95	
87.20	92.44	97.96	107.27	105.32	94.17	91.00	99.96	98.94	111.77	115.48	108.80	103.57	146.50	104.79	111.99	134.38	143.61	142.75	164.34	
47.12	49.36	51.56	52.59	56.85	56.44	58.14	55.05	53.74	53.20	55.44	52.13	50.12	59.49	65.94	62.77	68.20	80.40	73.00	77.68	
43.03	43.20	41.94	42.31	46.53	44.87	42.43	41.06	38.81	35.72	34.06	32.84	32.99	42.97	47.89	41.37	43.69	51.38	48.67	49.42	
14.26	22.39	21.50	20.32	18.68	18.54	15.51	23.61	17.78	21.62	20.57	20.57	23.27	29.14	24.83	21.68	27.76	26.29	30.94	31.62	
18.54	26.65	26.67	27.15	24.87	26.73	25.69	28.43	27.78	31.13	28.49	26.17	25.94	25.59	25.67	27.81	27.77	27.51	25.05	27.73	
20.86	20.84	22.62	22.78	20.04	23.20	25.98	27.92	27.51	22.93	33.84	34.20	28.61	29.22	26.90	26.73	26.27	26.12	31.82	32.74	
28.85	33.41	37.86	37.27	37.71	43.21	36.98	64.04	39.01	53.75	29.49	35.66	41.39	36.99	40.91	31.73	37.68	31.06	46.41	50.42	
14.13	10.90	9.52	15.18	11.61	9.55	9.98	11.22	10.17	14.40	7.05	8.91	13.36	12.51	10.42	10.00	15.14	9.94	13.34	14.90	
9.23	9.70	5.38	7.05	6.84	7.21	7.02	9.12	8.01	14.19	6.61	6.80	15.60	9.73	9.29	9.15	15.58	9.18	10.67	17.67	
17.48	22.48	19.53	16.38	19.21	20.38	22.21	21.16	18.95	19.03	25.40	21.26	22.07	21.59	20.16	19.10	17.75	24.85	24.20	24.04	
12.94	13.81	14.49	15.62	16.52	17.71	17.74	18.78	19.60	19.05	19.65	19.75	17.78	19.42	20.58	21.91	22.17	23.58	22.22	21.32	
6.38	6.76	7.03	7.70	7.85	7.12	6.72	6.34	6.27	6.18	5.61	5.50	5.57	5.15	5.13	5.14	4.89	5.23	5.59	5.28	
5.94	6.19	6.52	6.88	7.20	7.59	7.61	7.79	8.41	8.60	8.48	8.41	8.32	8.74	9.13	9.10	10.05	9.78	10.44	10.56	
86.66	93.89	97.79	98.09	103.03	104.08	105.31	108.87	117.91	115.82	116.57	110.22	116.37	117.93	113.69	120.45	123.40	124.35	126.51	128.45	
136.60	138.59	140.67	140.61	160.87	158.78	165.49	166.77	166.86	169.45	176.65	186.13	185.62	188.93	198.25	201.47	213.25	232.38	221.81	229.56	
27.09	27.90	30.16	32.76	36.59	39.45	40.99	42.01	42.00	42.00	46.00	46.00	46.00	59.41	69.00	70.00	73.88	75.00	77.00	80.00	
35.04	35.54	39.14	41.25	45.78	47.77	49.96	52.39	53.00	53.00	57.00	57.66	60.00	72.17	82.00	82.00	82.00	84.00	86.00	89.00	
66.67	68.70	72.98	79.54	83.50	84.34	84.51	90.30	93.78	98.85	107.46	125.93	138.24	138.86	142.88	135.48	137.71	145.93	147.14	144.26	
301.32	329.92	382.63	442.44	509.86	493.05	493.80	499.54	495.39	511.59	537.98	493.53	481.39	487.27	501.89	506.24	491.18	549.76	562.43	585.56	
28.74	31.98	34.56	36.64	39.32	40.16	39.53	41.15	41.54	42.48	44.20	45.18	44.32	44.75	46.29	49.29	50.13	49.78	54.30	55.84	
437.27	492.98	543.44	621.44	736.57	759.11	778.75	815.71	840.08	779.24	741.45	691.00	691.73	701.28	769.44	740.80	679.92	706.98	686.54	651.38	
20.52	20.90	24.38	25.74	28.84	27.55	27.69	27.96	27.83	28.27	28.29	29.44	30.05	31.49	33.13	32.23	34.69	36.78	41.24	38.99	
303.01	333.00	379.27	411.87	418.73	438.86	439.66	484.05	535.87	532.02	533.90	535.00	534.67	552.55	583.85	590.74	579.49	565.73	595.72	641.44	
31.26	35.84	40.79	45.78	52.03	55.00	59.91	67.51	72.03	73.97	79.28	81.98	88.59	94.26	105.16	107.41	112.72	117.94	124.75	131.20	
14.01	15.59	18.17	21.08	24.46	28.07	31.50	35.04	38.12	40.10	42.30	44.46	46.34	50.42	54.76	59.76	62.32	66.06	73.58	78.56	
80.44	93.90	103.73	120.28	150.05	161.34	167.07	163.00	170.85	172.15	177.10	188.59	218.40	282.98	320.04	332.31	337.28	340.45	336.52	341.20	
137.72	161.66	178.40	239.71	291.86	300.22	314.11	334.65	334.83	338.67	350.84	375.62	396.68	415.38	475.06	492.32	512.19	520.48	563.04	587.48	
30.18	32.98	35.64	38.97	43.08	44.46	45.72	47.95	51.36	51.94	53.52	51.83	52.15	52.98	52.18	51.16	54.17	67.52	67.84	66.71	
278.70	296.21	334.67	362.58	386.31	393.02	397.35	387.41	382.77	383.61	387.60	396.35	406.50	425.99	410.66	446.34	460.10	447.40	435.24	451.47	
5.16	5.79	5.92	6.81	7.15	7.03	6.83	6.72	7.11	7.12	7.26	7.29	7.49	7.95	8.15	8.57	8.81	10.24	10.88	11.42	
45.97	55.70	66.72	74.99	85.00	83.45	86.26	84.39	88.64	90.84	104.94	107.40	111.79	118.14	126.16	127.45	129.89	132.78	134.45	137.89	
7.60	9.84	9.61	9.62	10.76	10.68	10.66	10.50	10.30	10.35	10.59	10.35	12.59	12.57	15.46	18.08	21.83	22.32	23.30	27.96	
154.53	167.52	173.43	205.78	222.25	232.95	245.15	256.41	266.38	271.81	281.60	300.53	316.21	330.38	338.70	346.34	348.91	356.42	374.59	377.73	
